,Mod_Inf,Mod_Lng_Inf,Mod_Ctl,Mod_Lng_Ctl,Genes_diff,Perc_diff
1,mod_merged_tomato2,218,mod_merged_brown3,39,218,100.0
2,mod_merged_tomato2,218,mod_merged_navajowhite1,87,218,100.0
3,mod_merged_tomato2,218,mod_merged_mediumpurple3,109,218,100.0
7,mod_merged_tomato2,218,mod_merged_tan1,33,218,100.0
11,mod_merged_tomato2,218,mod_merged_magenta2,204,218,100.0
14,mod_merged_tomato2,218,mod_merged_coral1,141,218,100.0
17,mod_merged_tomato2,218,mod_merged_navajowhite3,492,218,100.0
19,mod_merged_tomato2,218,mod_merged_thistle1,273,218,100.0
20,mod_merged_tomato2,218,mod_merged_blue3,79,218,100.0
47,mod_merged_indianred,160,mod_merged_brown3,39,160,100.0
49,mod_merged_indianred,160,mod_merged_mediumpurple3,109,160,100.0
53,mod_merged_indianred,160,mod_merged_tan1,33,160,100.0
57,mod_merged_indianred,160,mod_merged_magenta2,204,160,100.0
59,mod_merged_indianred,160,mod_merged_orange1,95,160,100.0
60,mod_merged_indianred,160,mod_merged_coral1,141,160,100.0
62,mod_merged_indianred,160,mod_merged_mediumpurple1,273,160,100.0
64,mod_merged_indianred,160,mod_merged_lightblue1,195,160,100.0
66,mod_merged_indianred,160,mod_merged_blue3,79,160,100.0
68,mod_merged_indianred,160,mod_merged_mistyrose3,33,160,100.0
70,mod_merged_bisque4,115,mod_merged_brown3,39,115,100.0
71,mod_merged_bisque4,115,mod_merged_navajowhite1,87,115,100.0
72,mod_merged_bisque4,115,mod_merged_mediumpurple3,109,115,100.0
76,mod_merged_bisque4,115,mod_merged_tan1,33,115,100.0
82,mod_merged_bisque4,115,mod_merged_orange1,95,115,100.0
83,mod_merged_bisque4,115,mod_merged_coral1,141,115,100.0
85,mod_merged_bisque4,115,mod_merged_mediumpurple1,273,115,100.0
89,mod_merged_bisque4,115,mod_merged_blue3,79,115,100.0
91,mod_merged_bisque4,115,mod_merged_mistyrose3,33,115,100.0
94,mod_merged_blue2,416,mod_merged_navajowhite1,87,416,100.0
95,mod_merged_blue2,416,mod_merged_mediumpurple3,109,416,100.0
103,mod_merged_blue2,416,mod_merged_magenta2,204,416,100.0
108,mod_merged_blue2,416,mod_merged_mediumpurple1,273,416,100.0
112,mod_merged_blue2,416,mod_merged_blue3,79,416,100.0
117,mod_merged_firebrick2,304,mod_merged_navajowhite1,87,304,100.0
122,mod_merged_firebrick2,304,mod_merged_tan1,33,304,100.0
129,mod_merged_firebrick2,304,mod_merged_coral1,141,304,100.0
131,mod_merged_firebrick2,304,mod_merged_mediumpurple1,273,304,100.0
135,mod_merged_firebrick2,304,mod_merged_blue3,79,304,100.0
139,mod_merged_deepskyblue,39,mod_merged_brown3,39,39,100.0
140,mod_merged_deepskyblue,39,mod_merged_navajowhite1,87,39,100.0
145,mod_merged_deepskyblue,39,mod_merged_tan1,33,39,100.0
146,mod_merged_deepskyblue,39,mod_merged_antiquewhite3,764,39,100.0
149,mod_merged_deepskyblue,39,mod_merged_magenta2,204,39,100.0
151,mod_merged_deepskyblue,39,mod_merged_orange1,95,39,100.0
152,mod_merged_deepskyblue,39,mod_merged_coral1,141,39,100.0
154,mod_merged_deepskyblue,39,mod_merged_mediumpurple1,273,39,100.0
157,mod_merged_deepskyblue,39,mod_merged_thistle1,273,39,100.0
158,mod_merged_deepskyblue,39,mod_merged_blue3,79,39,100.0
160,mod_merged_deepskyblue,39,mod_merged_mistyrose3,33,39,100.0
162,mod_merged_dodgerblue1,72,mod_merged_brown3,39,72,100.0
163,mod_merged_dodgerblue1,72,mod_merged_navajowhite1,87,72,100.0
165,mod_merged_dodgerblue1,72,mod_merged_firebrick2,210,72,100.0
167,mod_merged_dodgerblue1,72,mod_merged_lightblue,635,72,100.0
168,mod_merged_dodgerblue1,72,mod_merged_tan1,33,72,100.0
170,mod_merged_dodgerblue1,72,mod_merged_coral3,2024,72,100.0
171,mod_merged_dodgerblue1,72,mod_merged_darkolivegreen2,1175,72,100.0
172,mod_merged_dodgerblue1,72,mod_merged_magenta2,204,72,100.0
173,mod_merged_dodgerblue1,72,mod_merged_antiquewhite,577,72,100.0
174,mod_merged_dodgerblue1,72,mod_merged_orange1,95,72,100.0
177,mod_merged_dodgerblue1,72,mod_merged_mediumpurple1,273,72,100.0
180,mod_merged_dodgerblue1,72,mod_merged_thistle1,273,72,100.0
181,mod_merged_dodgerblue1,72,mod_merged_blue3,79,72,100.0
183,mod_merged_dodgerblue1,72,mod_merged_mistyrose3,33,72,100.0
184,mod_merged_dodgerblue1,72,mod_merged_firebrick3,1215,72,100.0
185,mod_merged_green,236,mod_merged_brown3,39,236,100.0
186,mod_merged_green,236,mod_merged_navajowhite1,87,236,100.0
187,mod_merged_green,236,mod_merged_mediumpurple3,109,236,100.0
191,mod_merged_green,236,mod_merged_tan1,33,236,100.0
197,mod_merged_green,236,mod_merged_orange1,95,236,100.0
206,mod_merged_green,236,mod_merged_mistyrose3,33,236,100.0
209,mod_merged_tan3,189,mod_merged_navajowhite1,87,189,100.0
211,mod_merged_tan3,189,mod_merged_firebrick2,210,189,100.0
214,mod_merged_tan3,189,mod_merged_tan1,33,189,100.0
223,mod_merged_tan3,189,mod_merged_mediumpurple1,273,189,100.0
227,mod_merged_tan3,189,mod_merged_blue3,79,189,100.0
229,mod_merged_tan3,189,mod_merged_mistyrose3,33,189,100.0
231,mod_merged_lightblue2,196,mod_merged_brown3,39,196,100.0
233,mod_merged_lightblue2,196,mod_merged_mediumpurple3,109,196,100.0
237,mod_merged_lightblue2,196,mod_merged_tan1,33,196,100.0
240,mod_merged_lightblue2,196,mod_merged_darkolivegreen2,1175,196,100.0
241,mod_merged_lightblue2,196,mod_merged_magenta2,204,196,100.0
242,mod_merged_lightblue2,196,mod_merged_antiquewhite,577,196,100.0
243,mod_merged_lightblue2,196,mod_merged_orange1,95,196,100.0
244,mod_merged_lightblue2,196,mod_merged_coral1,141,196,100.0
252,mod_merged_lightblue2,196,mod_merged_mistyrose3,33,196,100.0
254,mod_merged_lavender,99,mod_merged_brown3,39,99,100.0
255,mod_merged_lavender,99,mod_merged_navajowhite1,87,99,100.0
257,mod_merged_lavender,99,mod_merged_firebrick2,210,99,100.0
260,mod_merged_lavender,99,mod_merged_tan1,33,99,100.0
264,mod_merged_lavender,99,mod_merged_magenta2,204,99,100.0
266,mod_merged_lavender,99,mod_merged_orange1,95,99,100.0
267,mod_merged_lavender,99,mod_merged_coral1,141,99,100.0
269,mod_merged_lavender,99,mod_merged_mediumpurple1,273,99,100.0
272,mod_merged_lavender,99,mod_merged_thistle1,273,99,100.0
273,mod_merged_lavender,99,mod_merged_blue3,79,99,100.0
275,mod_merged_lavender,99,mod_merged_mistyrose3,33,99,100.0
277,mod_merged_coral4,98,mod_merged_brown3,39,98,100.0
278,mod_merged_coral4,98,mod_merged_navajowhite1,87,98,100.0
279,mod_merged_coral4,98,mod_merged_mediumpurple3,109,98,100.0
280,mod_merged_coral4,98,mod_merged_firebrick2,210,98,100.0
283,mod_merged_coral4,98,mod_merged_tan1,33,98,100.0
287,mod_merged_coral4,98,mod_merged_magenta2,204,98,100.0
289,mod_merged_coral4,98,mod_merged_orange1,95,98,100.0
290,mod_merged_coral4,98,mod_merged_coral1,141,98,100.0
292,mod_merged_coral4,98,mod_merged_mediumpurple1,273,98,100.0
298,mod_merged_coral4,98,mod_merged_mistyrose3,33,98,100.0
302,mod_merged_skyblue4,309,mod_merged_mediumpurple3,109,309,100.0
303,mod_merged_skyblue4,309,mod_merged_firebrick2,210,309,100.0
306,mod_merged_skyblue4,309,mod_merged_tan1,33,309,100.0
309,mod_merged_skyblue4,309,mod_merged_darkolivegreen2,1175,309,100.0
311,mod_merged_skyblue4,309,mod_merged_antiquewhite,577,309,100.0
312,mod_merged_skyblue4,309,mod_merged_orange1,95,309,100.0
321,mod_merged_skyblue4,309,mod_merged_mistyrose3,33,309,100.0
323,mod_merged_burlywood,39,mod_merged_brown3,39,39,100.0
324,mod_merged_burlywood,39,mod_merged_navajowhite1,87,39,100.0
325,mod_merged_burlywood,39,mod_merged_mediumpurple3,109,39,100.0
326,mod_merged_burlywood,39,mod_merged_firebrick2,210,39,100.0
329,mod_merged_burlywood,39,mod_merged_tan1,33,39,100.0
330,mod_merged_burlywood,39,mod_merged_antiquewhite3,764,39,100.0
333,mod_merged_burlywood,39,mod_merged_magenta2,204,39,100.0
335,mod_merged_burlywood,39,mod_merged_orange1,95,39,100.0
336,mod_merged_burlywood,39,mod_merged_coral1,141,39,100.0
338,mod_merged_burlywood,39,mod_merged_mediumpurple1,273,39,100.0
340,mod_merged_burlywood,39,mod_merged_lightblue1,195,39,100.0
342,mod_merged_burlywood,39,mod_merged_blue3,79,39,100.0
344,mod_merged_burlywood,39,mod_merged_mistyrose3,33,39,100.0
347,mod_merged_darkmagenta,133,mod_merged_navajowhite1,87,133,100.0
352,mod_merged_darkmagenta,133,mod_merged_tan1,33,133,100.0
359,mod_merged_darkmagenta,133,mod_merged_coral1,141,133,100.0
364,mod_merged_darkmagenta,133,mod_merged_thistle1,273,133,100.0
365,mod_merged_darkmagenta,133,mod_merged_blue3,79,133,100.0
367,mod_merged_darkmagenta,133,mod_merged_mistyrose3,33,133,100.0
369,mod_merged_lemonchiffon3,1589,mod_merged_brown3,39,1589,100.0
375,mod_merged_lemonchiffon3,1589,mod_merged_tan1,33,1589,100.0
381,mod_merged_lemonchiffon3,1589,mod_merged_orange1,95,1589,100.0
392,mod_merged_palevioletred3,62,mod_merged_brown3,39,62,100.0
393,mod_merged_palevioletred3,62,mod_merged_navajowhite1,87,62,100.0
394,mod_merged_palevioletred3,62,mod_merged_mediumpurple3,109,62,100.0
395,mod_merged_palevioletred3,62,mod_merged_firebrick2,210,62,100.0
396,mod_merged_palevioletred3,62,mod_merged_deepskyblue,834,62,100.0
397,mod_merged_palevioletred3,62,mod_merged_lightblue,635,62,100.0
398,mod_merged_palevioletred3,62,mod_merged_tan1,33,62,100.0
399,mod_merged_palevioletred3,62,mod_merged_antiquewhite3,764,62,100.0
403,mod_merged_palevioletred3,62,mod_merged_antiquewhite,577,62,100.0
404,mod_merged_palevioletred3,62,mod_merged_orange1,95,62,100.0
405,mod_merged_palevioletred3,62,mod_merged_coral1,141,62,100.0
406,mod_merged_palevioletred3,62,mod_merged_darkolivegreen4,1792,62,100.0
407,mod_merged_palevioletred3,62,mod_merged_mediumpurple1,273,62,100.0
411,mod_merged_palevioletred3,62,mod_merged_blue3,79,62,100.0
413,mod_merged_palevioletred3,62,mod_merged_mistyrose3,33,62,100.0
416,mod_merged_cornsilk2,267,mod_merged_navajowhite1,87,267,100.0
417,mod_merged_cornsilk2,267,mod_merged_mediumpurple3,109,267,100.0
421,mod_merged_cornsilk2,267,mod_merged_tan1,33,267,100.0
427,mod_merged_cornsilk2,267,mod_merged_orange1,95,267,100.0
428,mod_merged_cornsilk2,267,mod_merged_coral1,141,267,100.0
430,mod_merged_cornsilk2,267,mod_merged_mediumpurple1,273,267,100.0
434,mod_merged_cornsilk2,267,mod_merged_blue3,79,267,100.0
436,mod_merged_cornsilk2,267,mod_merged_mistyrose3,33,267,100.0
439,mod_merged_lightsteelblue,540,mod_merged_navajowhite1,87,540,100.0
440,mod_merged_lightsteelblue,540,mod_merged_mediumpurple3,109,540,100.0
444,mod_merged_lightsteelblue,540,mod_merged_tan1,33,540,100.0
453,mod_merged_lightsteelblue,540,mod_merged_mediumpurple1,273,540,100.0
457,mod_merged_lightsteelblue,540,mod_merged_blue3,79,540,100.0
459,mod_merged_lightsteelblue,540,mod_merged_mistyrose3,33,540,100.0
461,mod_merged_darkolivegreen2,256,mod_merged_brown3,39,256,100.0
462,mod_merged_darkolivegreen2,256,mod_merged_navajowhite1,87,256,100.0
464,mod_merged_darkolivegreen2,256,mod_merged_firebrick2,210,256,100.0
480,mod_merged_darkolivegreen2,256,mod_merged_blue3,79,256,100.0
482,mod_merged_darkolivegreen2,256,mod_merged_mistyrose3,33,256,100.0
485,mod_merged_hotpink3,1098,mod_merged_navajowhite1,87,1098,100.0
486,mod_merged_hotpink3,1098,mod_merged_mediumpurple3,109,1098,100.0
503,mod_merged_hotpink3,1098,mod_merged_blue3,79,1098,100.0
505,mod_merged_hotpink3,1098,mod_merged_mistyrose3,33,1098,100.0
508,mod_merged_antiquewhite,135,mod_merged_navajowhite1,87,135,100.0
509,mod_merged_antiquewhite,135,mod_merged_mediumpurple3,109,135,100.0
510,mod_merged_antiquewhite,135,mod_merged_firebrick2,210,135,100.0
513,mod_merged_antiquewhite,135,mod_merged_tan1,33,135,100.0
517,mod_merged_antiquewhite,135,mod_merged_magenta2,204,135,100.0
519,mod_merged_antiquewhite,135,mod_merged_orange1,95,135,100.0
520,mod_merged_antiquewhite,135,mod_merged_coral1,141,135,100.0
522,mod_merged_antiquewhite,135,mod_merged_mediumpurple1,273,135,100.0
523,mod_merged_antiquewhite,135,mod_merged_navajowhite3,492,135,100.0
524,mod_merged_antiquewhite,135,mod_merged_lightblue1,195,135,100.0
525,mod_merged_antiquewhite,135,mod_merged_thistle1,273,135,100.0
526,mod_merged_antiquewhite,135,mod_merged_blue3,79,135,100.0
528,mod_merged_antiquewhite,135,mod_merged_mistyrose3,33,135,100.0
536,mod_merged_darkolivegreen4,597,mod_merged_tan1,33,597,100.0
541,mod_merged_darkolivegreen4,597,mod_merged_antiquewhite,577,597,100.0
554,mod_merged_green1,1429,mod_merged_navajowhite1,87,1429,100.0
576,mod_merged_mediumpurple1,189,mod_merged_brown3,39,189,100.0
577,mod_merged_mediumpurple1,189,mod_merged_navajowhite1,87,189,100.0
582,mod_merged_mediumpurple1,189,mod_merged_tan1,33,189,100.0
586,mod_merged_mediumpurple1,189,mod_merged_magenta2,204,189,100.0
589,mod_merged_mediumpurple1,189,mod_merged_coral1,141,189,100.0
594,mod_merged_mediumpurple1,189,mod_merged_thistle1,273,189,100.0
595,mod_merged_mediumpurple1,189,mod_merged_blue3,79,189,100.0
597,mod_merged_mediumpurple1,189,mod_merged_mistyrose3,33,189,100.0
599,mod_merged_palevioletred1,368,mod_merged_brown3,39,368,100.0
605,mod_merged_palevioletred1,368,mod_merged_tan1,33,368,100.0
618,mod_merged_palevioletred1,368,mod_merged_blue3,79,368,100.0
624,mod_merged_chocolate2,573,mod_merged_mediumpurple3,109,573,100.0
628,mod_merged_chocolate2,573,mod_merged_tan1,33,573,100.0
632,mod_merged_chocolate2,573,mod_merged_magenta2,204,573,100.0
637,mod_merged_chocolate2,573,mod_merged_mediumpurple1,273,573,100.0
641,mod_merged_chocolate2,573,mod_merged_blue3,79,573,100.0
643,mod_merged_chocolate2,573,mod_merged_mistyrose3,33,573,100.0
645,mod_merged_thistle1,190,mod_merged_brown3,39,190,100.0
647,mod_merged_thistle1,190,mod_merged_mediumpurple3,109,190,100.0
648,mod_merged_thistle1,190,mod_merged_firebrick2,210,190,100.0
651,mod_merged_thistle1,190,mod_merged_tan1,33,190,100.0
654,mod_merged_thistle1,190,mod_merged_darkolivegreen2,1175,190,100.0
656,mod_merged_thistle1,190,mod_merged_antiquewhite,577,190,100.0
657,mod_merged_thistle1,190,mod_merged_orange1,95,190,100.0
668,mod_merged_green3,472,mod_merged_brown3,39,472,100.0
669,mod_merged_green3,472,mod_merged_navajowhite1,87,472,100.0
670,mod_merged_green3,472,mod_merged_mediumpurple3,109,472,100.0
671,mod_merged_green3,472,mod_merged_firebrick2,210,472,100.0
674,mod_merged_green3,472,mod_merged_tan1,33,472,100.0
678,mod_merged_green3,472,mod_merged_magenta2,204,472,100.0
687,mod_merged_green3,472,mod_merged_blue3,79,472,100.0
689,mod_merged_green3,472,mod_merged_mistyrose3,33,472,100.0
697,mod_merged_dodgerblue4,592,mod_merged_tan1,33,592,100.0
710,mod_merged_dodgerblue4,592,mod_merged_blue3,79,592,100.0
714,mod_merged_mistyrose3,386,mod_merged_brown3,39,386,100.0
720,mod_merged_mistyrose3,386,mod_merged_tan1,33,386,100.0
726,mod_merged_mistyrose3,386,mod_merged_orange1,95,386,100.0
738,mod_merged_steelblue,222,mod_merged_navajowhite1,87,222,100.0
739,mod_merged_steelblue,222,mod_merged_mediumpurple3,109,222,100.0
749,mod_merged_steelblue,222,mod_merged_orange1,95,222,100.0
756,mod_merged_steelblue,222,mod_merged_blue3,79,222,100.0
758,mod_merged_steelblue,222,mod_merged_mistyrose3,33,222,100.0
760,mod_merged_brown2,261,mod_merged_brown3,39,261,100.0
761,mod_merged_brown2,261,mod_merged_navajowhite1,87,261,100.0
762,mod_merged_brown2,261,mod_merged_mediumpurple3,109,261,100.0
775,mod_merged_brown2,261,mod_merged_mediumpurple1,273,261,100.0
779,mod_merged_brown2,261,mod_merged_blue3,79,261,100.0
781,mod_merged_brown2,261,mod_merged_mistyrose3,33,261,100.0
789,mod_merged_oldlace,1087,mod_merged_tan1,33,1087,100.0
798,mod_merged_oldlace,1087,mod_merged_mediumpurple1,273,1087,100.0
801,mod_merged_oldlace,1087,mod_merged_thistle1,273,1087,100.0
